Title,Description,Source
Disney Entertainment TV Names Ex-Biden Adviser Remi Yamamoto VP Media Relations,Most recently special assistant to President Biden and senior advisor for the office of the chief of staff at the White House  Yamamoto will be responsible for,https://variety.com/2023/tv/news/disney-tv-biden-adviser-remi-yamamoto-vp-media-relations-1235709659/ 
President Joseph R. Biden  Jr. Approves Florida Disaster Declaration,Today  President Joseph R. Biden  Jr. declared that a major disaster exists in the State of Florida and ordered Federal aid to supplement State  tribal ,https://www.whitehouse.gov/briefing-room/presidential-actions/2023/08/31/president-joseph-r-biden-jr-approves-florida-disaster-declaration-4/ 
President Biden approves Disaster Declaration for Florida areas impacted by Idalia,On Thursday  President Joe Biden approved a Disaster Declaration for areas impacted by Hurricane Idalia. Idalia hit Florida's Big Bend area as a strong,https://www.wesh.com/article/president-biden-disaster-declaration-idalia/44961944 
Biden says he'll travel to Florida on Saturday following Hurricane Idalia,(CNN) — President Joe Biden said Thursday that he plans to travel to Florida Saturday morning after Hurricane Idalia battered the state earlier this week.5 小時前,https://www.cbs58.com/news/biden-declares-a-major-disaster-in-florida-following-hurricane-idalia 
FACT SHEET: Biden-Harris Administration Takes Another Life ...,In March  President Biden signed an Executive Order directing the Attorney General to move as close to universal background checks as possible within,https://www.whitehouse.gov/briefing-room/statements-releases/2023/08/31/fact-sheet-biden-harris-administration-takes-another-life-saving-step-to-keep-guns-out-of-dangerous-hands/ 
Biden administration proposes rule that would require more firearms dealers to run background checks,The proposal comes after a mandate from President Joe Biden to find ways to strengthen background checks following the passage of bipartisan legislation on guns,https://www.pbs.org/newshour/politics/biden-administration-proposes-rule-that-would-require-more-firearms-dealers-to-run-background-checks 
Biden administration proposes to close loophole on background ...,The Biden administration on Thursday moved to expand background checks for gun purchases  a step toward fulfilling a key ask from gun safety groups.3 小時前,https://www.politico.com/news/2023/08/31/biden-close-loophole-background-checks-00113642 
Why Biden is now routinely taking the short stairs up to Air Force One,President Biden boards Air Force One at Peterson Air Force Base in Colorado Springs  Colo. on June 1  2023  after attending the 2023 United States Air Force,https://www.npr.org/2023/08/31/1196803354/biden-air-force-one-short-stairs 
Remarks by President Biden on the Whole-of-Government ...,Remarks by President Biden on the Whole-of-Government Response and Recovery Efforts in Maui  Hawaii  and the Ongoing Response to Hurricane Idalia.7 小時前,https://www.whitehouse.gov/briefing-room/speeches-remarks/2023/08/31/remarks-by-president-biden-on-the-whole-of-government-response-and-recovery-efforts-in-maui-hawaii-and-the-ongoing-response-to-hurricane-idalia/ 
Statement from President Joe Biden on Funding for Fair Electric ...,Statement from President Joe Biden on Funding for Fair Electric Vehicle Conversion Funding ,https://www.whitehouse.gov/briefing-room/statements-releases/2023/08/31/statement-from-president-joe-biden-on-funding-for-fair-electric-vehicle-conversion-funding/ 
FACT SHEET: On Int’l Overdose Awareness Day  the Biden-Harris ...,Today  on International Overdose Awareness Day  the Biden-Harris administration is recognizing all those who have lost someone to an overdose. President Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2023/08/31/fact-sheet-on-intl-overdose-awareness-day-the-biden-harris-administration-announces-more-than-450-million-in-new-funding-to-support-president-bidens-unity-agenda-efforts-to-beat-t/ 
President Joseph R. Biden  Jr. Approves Florida Disaster Declaration,Today  President Joseph R. Biden  Jr. declared that a major disaster exists in the State of Florida and ordered Federal aid to supplement State  tribal ,https://www.whitehouse.gov/briefing-room/presidential-actions/2023/08/31/president-joseph-r-biden-jr-approves-florida-disaster-declaration-4/ 
President Biden approves Disaster Declaration for Florida areas impacted by Idalia,On Thursday  President Joe Biden approved a Disaster Declaration for areas impacted by Hurricane Idalia. Idalia hit Florida's Big Bend area as a strong,https://www.wesh.com/article/president-biden-disaster-declaration-idalia/44961944 
Biden says he'll travel to Florida on Saturday following Hurricane Idalia,(CNN) — President Joe Biden said Thursday that he plans to travel to Florida Saturday morning after Hurricane Idalia battered the state earlier this week.5 小時前,https://www.cbs58.com/news/biden-declares-a-major-disaster-in-florida-following-hurricane-idalia 
FACT SHEET: Biden-Harris Administration Takes Another Life ...,In March  President Biden signed an Executive Order directing the Attorney General to move as close to universal background checks as possible within,https://www.whitehouse.gov/briefing-room/statements-releases/2023/08/31/fact-sheet-biden-harris-administration-takes-another-life-saving-step-to-keep-guns-out-of-dangerous-hands/ 
Biden administration proposes rule that would require more firearms dealers to run background checks,The proposal comes after a mandate from President Joe Biden to find ways to strengthen background checks following the passage of bipartisan legislation on guns,https://www.pbs.org/newshour/politics/biden-administration-proposes-rule-that-would-require-more-firearms-dealers-to-run-background-checks 
Biden administration proposes to close loophole on background ...,The Biden administration on Thursday moved to expand background checks for gun purchases  a step toward fulfilling a key ask from gun safety groups.3 小時前,https://www.politico.com/news/2023/08/31/biden-close-loophole-background-checks-00113642 
Why Biden is now routinely taking the short stairs up to Air Force One,President Biden boards Air Force One at Peterson Air Force Base in Colorado Springs  Colo. on June 1  2023  after attending the 2023 United States Air Force,https://www.npr.org/2023/08/31/1196803354/biden-air-force-one-short-stairs 
Remarks by President Biden on the Whole-of-Government ...,Remarks by President Biden on the Whole-of-Government Response and Recovery Efforts in Maui  Hawaii  and the Ongoing Response to Hurricane Idalia.7 小時前,https://www.whitehouse.gov/briefing-room/speeches-remarks/2023/08/31/remarks-by-president-biden-on-the-whole-of-government-response-and-recovery-efforts-in-maui-hawaii-and-the-ongoing-response-to-hurricane-idalia/ 
Statement from President Joe Biden on Funding for Fair Electric ...,Statement from President Joe Biden on Funding for Fair Electric Vehicle Conversion Funding ,https://www.whitehouse.gov/briefing-room/statements-releases/2023/08/31/statement-from-president-joe-biden-on-funding-for-fair-electric-vehicle-conversion-funding/ 
FACT SHEET: On Int’l Overdose Awareness Day  the Biden-Harris ...,Today  on International Overdose Awareness Day  the Biden-Harris administration is recognizing all those who have lost someone to an overdose. President Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2023/08/31/fact-sheet-on-intl-overdose-awareness-day-the-biden-harris-administration-announces-more-than-450-million-in-new-funding-to-support-president-bidens-unity-agenda-efforts-to-beat-t/ 
President Joseph R. Biden  Jr. Approves Florida Disaster Declaration,Today  President Joseph R. Biden  Jr. declared that a major disaster exists in the State of Florida and ordered Federal aid to supplement State  tribal ,https://www.whitehouse.gov/briefing-room/presidential-actions/2023/08/31/president-joseph-r-biden-jr-approves-florida-disaster-declaration-4/ 
President Biden approves Disaster Declaration for Florida areas impacted by Idalia,On Thursday  President Joe Biden approved a Disaster Declaration for areas impacted by Hurricane Idalia. Idalia hit Florida's Big Bend area as a strong,https://www.wesh.com/article/president-biden-disaster-declaration-idalia/44961944 
Biden says he'll travel to Florida on Saturday following Hurricane Idalia,(CNN) — President Joe Biden said Thursday that he plans to travel to Florida Saturday morning after Hurricane Idalia battered the state earlier this week.5 小時前,https://www.cbs58.com/news/biden-declares-a-major-disaster-in-florida-following-hurricane-idalia 
FACT SHEET: Biden-Harris Administration Takes Another Life ...,In March  President Biden signed an Executive Order directing the Attorney General to move as close to universal background checks as possible within,https://www.whitehouse.gov/briefing-room/statements-releases/2023/08/31/fact-sheet-biden-harris-administration-takes-another-life-saving-step-to-keep-guns-out-of-dangerous-hands/ 
Biden administration proposes rule that would require more firearms dealers to run background checks,The proposal comes after a mandate from President Joe Biden to find ways to strengthen background checks following the passage of bipartisan legislation on guns,https://www.pbs.org/newshour/politics/biden-administration-proposes-rule-that-would-require-more-firearms-dealers-to-run-background-checks 
Biden administration proposes rule aimed at curbing the 'gun show ...,The Biden administration on Thursday proposed a rule intended to require people selling firearms at gun shows and on the internet to conduct background,https://www.cnn.com/2023/08/31/politics/gun-show-loophole-rules-atf-biden-administration/index.html 
Why Biden is now routinely taking the short stairs up to Air Force One,President Biden boards Air Force One at Peterson Air Force Base in Colorado Springs  Colo. on June 1  2023  after attending the 2023 United States Air Force,https://www.npr.org/2023/08/31/1196803354/biden-air-force-one-short-stairs 
Remarks by President Biden on the Whole-of-Government ...,Remarks by President Biden on the Whole-of-Government Response and Recovery Efforts in Maui  Hawaii  and the Ongoing Response to Hurricane Idalia.7 小時前,https://www.whitehouse.gov/briefing-room/speeches-remarks/2023/08/31/remarks-by-president-biden-on-the-whole-of-government-response-and-recovery-efforts-in-maui-hawaii-and-the-ongoing-response-to-hurricane-idalia/ 
Statement from President Joe Biden on Funding for Fair Electric ...,Statement from President Joe Biden on Funding for Fair Electric Vehicle Conversion Funding ,https://www.whitehouse.gov/briefing-room/statements-releases/2023/08/31/statement-from-president-joe-biden-on-funding-for-fair-electric-vehicle-conversion-funding/ 
FACT SHEET: On Int’l Overdose Awareness Day  the Biden-Harris ...,Today  on International Overdose Awareness Day  the Biden-Harris administration is recognizing all those who have lost someone to an overdose. President Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2023/08/31/fact-sheet-on-intl-overdose-awareness-day-the-biden-harris-administration-announces-more-than-450-million-in-new-funding-to-support-president-bidens-unity-agenda-efforts-to-beat-t/ 
President Joseph R. Biden  Jr. Approves Florida Disaster Declaration,Today  President Joseph R. Biden  Jr. declared that a major disaster exists in the State of Florida and ordered Federal aid to supplement State  tribal ,https://www.whitehouse.gov/briefing-room/presidential-actions/2023/08/31/president-joseph-r-biden-jr-approves-florida-disaster-declaration-4/ 
President Biden approves Disaster Declaration for Florida areas impacted by Idalia,On Thursday  President Joe Biden approved a Disaster Declaration for areas impacted by Hurricane Idalia. Idalia hit Florida's Big Bend area as a strong,https://www.wesh.com/article/president-biden-disaster-declaration-idalia/44961944 
Biden says he'll travel to Florida on Saturday following Hurricane Idalia,(CNN) — President Joe Biden said Thursday that he plans to travel to Florida Saturday morning after Hurricane Idalia battered the state earlier this week.5 小時前,https://www.cbs58.com/news/biden-declares-a-major-disaster-in-florida-following-hurricane-idalia 
FACT SHEET: Biden-Harris Administration Takes Another Life ...,In March  President Biden signed an Executive Order directing the Attorney General to move as close to universal background checks as possible within,https://www.whitehouse.gov/briefing-room/statements-releases/2023/08/31/fact-sheet-biden-harris-administration-takes-another-life-saving-step-to-keep-guns-out-of-dangerous-hands/ 
Biden administration proposes rule that would require more firearms dealers to run background checks,The proposal comes after a mandate from President Joe Biden to find ways to strengthen background checks following the passage of bipartisan legislation on guns,https://www.pbs.org/newshour/politics/biden-administration-proposes-rule-that-would-require-more-firearms-dealers-to-run-background-checks 
Biden administration proposes rule aimed at curbing the 'gun show ...,The Biden administration on Thursday proposed a rule intended to require people selling firearms at gun shows and on the internet to conduct background,https://www.cnn.com/2023/08/31/politics/gun-show-loophole-rules-atf-biden-administration/index.html 
Why Biden is now routinely taking the short stairs up to Air Force One,President Biden boards Air Force One at Peterson Air Force Base in Colorado Springs  Colo. on June 1  2023  after attending the 2023 United States Air Force,https://www.npr.org/2023/08/31/1196803354/biden-air-force-one-short-stairs 
Remarks by President Biden on the Whole-of-Government ...,Remarks by President Biden on the Whole-of-Government Response and Recovery Efforts in Maui  Hawaii  and the Ongoing Response to Hurricane Idalia.7 小時前,https://www.whitehouse.gov/briefing-room/speeches-remarks/2023/08/31/remarks-by-president-biden-on-the-whole-of-government-response-and-recovery-efforts-in-maui-hawaii-and-the-ongoing-response-to-hurricane-idalia/ 
Statement from President Joe Biden on Funding for Fair Electric ...,Statement from President Joe Biden on Funding for Fair Electric Vehicle Conversion Funding ,https://www.whitehouse.gov/briefing-room/statements-releases/2023/08/31/statement-from-president-joe-biden-on-funding-for-fair-electric-vehicle-conversion-funding/ 
FACT SHEET: On Int’l Overdose Awareness Day  the Biden-Harris ...,Today  on International Overdose Awareness Day  the Biden-Harris administration is recognizing all those who have lost someone to an overdose. President Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2023/08/31/fact-sheet-on-intl-overdose-awareness-day-the-biden-harris-administration-announces-more-than-450-million-in-new-funding-to-support-president-bidens-unity-agenda-efforts-to-beat-t/ 
Biden says he has no concerns about McConnell’s health after speaking to him,President Biden said he is not concerned about Senate Minority Leader Mitch McConnell's (R-Ky.) ability to serve  one day after McConnell froze up during a,https://thehill.com/homenews/administration/4181511-biden-says-he-has-no-concerns-about-mcconnells-health-after-speaking-to-him/ 
Why Biden Can't Expedite Work Permits for Migrants,Governor Hochul has been urging the Biden administration to get work permits to asylum seekers faster so that they can support themselves and their families,https://www.nytimes.com/2023/08/31/us/politics/new-york-asylum-work-permits-migrants.html 
If Joe Biden Falters  Democrats Have Prepped the Bench,While President Joe Biden's “going to be the nominee for the Democrats in 2024 ” she says  the party has a “bench of possible presidential candidates that,https://www.vanityfair.com/news/2023/08/if-joe-biden-falters-democrats-have-prepped-the-bench 
Biden does not plan to meet Chinese counterpart Xi at G20,WASHINGTON — President Joe Biden does not plan to formally meet his Chinese counterpart Xi Jinping on the sidelines of the Group of 20 summit in India ,https://news.yahoo.com/biden-does-not-plan-meet-183644755.html 
Biden reveals a RAISE for federal workers: White House gives government staff a pay bump of 5.2% - as pressure,Biden reveals a RAISE for federal workers: White House gives government staff a pay bump of 5.2% - as pressure grows on more to return to the office. By Emily,https://www.dailymail.co.uk/news/article-12467663/Biden-reveals-RAISE-federal-workers-government-staff-pay-bump-5-2.html 
Xi Might Skip G-20 Summit. Biden Says He 'Hopes' Otherwise,US President Joe Biden said he hoped Xi Jinping will attend next week's G-20 summit in New Delhi  amid reports the Chinese leader would likely skip the,https://www.bloomberg.com/news/articles/2023-08-31/biden-says-he-hopes-xi-attends-g-20-despite-signals-otherwise 
Head of GOP’s Biden probe  Rep. James Comer flirts with higher office,James Comer  leading the GOP Biden probe  insists he's 'bipartisan' as he ,https://www.nbcnews.com/politics/congress/james-comer-hunter-joe-biden-investigation-senate-governor-rcna102212 
Book Review: ‘The Last Politician ’ by Franklin Foer,Joe Biden's First Term and the 'West Wing' Fantasy of American Politics. In “The Last Politician ” Franklin Foer presents the first half of Biden's presidency,https://www.nytimes.com/2023/08/31/books/review/the-last-politician-franklin-foer.html 
Statement from President Biden on the Second Anniversary of ...,Statement from President Biden on the Second Anniversary of Ending the Afghanistan War ,https://www.whitehouse.gov/briefing-room/statements-releases/2023/08/30/statement-by-president-biden-on-the-second-anniversary-of-ending-the-afghanistan-war/ 
Analysis | Biden loves to retell certain stories. Some aren't credible.,Biden had a tangential role in the civil rights movement — The Fact Checker determined that he participated in one walkout at a restaurant and picketed a,https://www.washingtonpost.com/politics/2023/08/31/biden-loves-retell-certain-stories-some-arent-credible/ 
Why Nikki Haley Scares the Biden Campaign,She almost certainly won't be the Republican nominee. But she's showing where Biden is vulnerable. Nikki Haley attended the Iowa State Fair on August 12. Chip,https://newrepublic.com/article/175317/nikki-haley-2024-campaign-biden-scared 
First Lady Jill Biden visits in Madison,(WMTV) - First Lady,https://www.nbc15.com/2023/08/31/first-lady-jill-biden-make-stop-madison/ 
President To Attend ‘Broadway For Biden’ Fundraising Concert Featuring Josh Groban  Ben Platt  Sara Bareilles  Lin-Manuel Miranda  Cynthia Erivo & Other Top Stage Stars,President To Attend 'Broadway For Biden' Fundraising Concert Featuring Josh Groban  Ben Platt  Sara Bareilles  Lin-Manuel Miranda  Cynthia Erivo & Other Top,https://deadline.com/2023/08/broadway-for-biden-concert-1235533195/ 
Disney Entertainment TV Names Ex-Biden Adviser Remi Yamamoto VP Media Relations,Most recently special assistant to President Biden and senior advisor for the office of the chief of staff at the White House  Yamamoto will be responsible for,https://variety.com/2023/tv/news/disney-tv-biden-adviser-remi-yamamoto-vp-media-relations-1235709659/ 
Hunter Biden's firm and Joe's VP office exchanged more than 1 000 emails: Records show the wide access to Whit,New records reveal that then-Vice President Joe Biden and his son Hunter's investment firm Rosemont Seneca exchanged over 1 000 emails during his time as the No,https://www.dailymail.co.uk/news/article-12465741/Hunter-Bidens-firm-Joes-VP-office-shared-1000-emails-Records-wide-access-White-House-channels-presidents-son-access-doing-deals-overseas.html 
Plastic surgeon claims President Joe Biden has 'spent $100 000' on wrinkle filler  teeth whitening and hair tr,Some of the tweaks Dr Motykie claims Mr Biden has received include a face and brow lift  eyelid surgery to reduce bags  Botox  and fillers.8 小時前,https://www.dailymail.co.uk/health/article-12463351/Plastic-surgeon-claims-President-Joe-Biden-spent-100-000-wrinkle-filler-teeth-whitening-hair-transplants.html 
White House warns GOP Biden impeachment will backfire,The White House is warning House Republicans that a potential impeachment inquiry into President Biden will only backfire on an already fractured conference,https://thehill.com/homenews/administration/4179957-white-house-warns-gop-biden-impeachment-will-backfire/ 
Joe Biden will return to Rehoboth Beach Friday night  stay for ...,"Delaware's favorite son  President Joe Biden  will be at his home near Rehoboth Beach again this weekend. According to the White House's ""Week Ahead",https://www.delawareonline.com/story/news/local/2023/08/31/joe-biden-return-rehoboth-beach-friday-night-stay-for-weekend/70698858007/ 
Republicans outraged as Biden administration border wall auction proceeds,Furious Republican senators are demanding that President Biden secure the border instead of selling off the wall that was designed to protect it.1 小時前,https://www.foxnews.com/politics/gop-hounds-biden-admin-for-continuing-to-auction-off-border-wall-materials-outragous 
President Biden announces $95 million in federal funding for Hawaii wildfire recovery,WASHINGTON (Gray DC) -,https://www.fox8live.com/2023/08/31/president-biden-announces-95-million-federal-funding-hawaii-wildfire-recovery/ 
Yang urges Biden to break precedent and debate RFK Jr.,"Former Democratic presidential candidate Andrew Yang wants President Biden to debate Robert F. Kennedy Jr.. Why it matters: ""The problem is that the DNC and",https://www.axios.com/2023/08/31/andrew-yang-biden-primary-debate-rfk-jr 
Biden’s vision for a rejuvenated child care system is about to hit a wall,President Joe Biden once pitched his administration's Covid-era child care investments as a critical bridge for parents and caregivers hit hard by the,https://www.politico.com/news/2023/08/31/biden-child-care-system-00113613 
Liberals raise alarms  calling on Biden to sharpen reelection pitch,President Biden notched an array of early endorsements from progressive groups. He has won the support of top liberals in Congress for his campaign.10 小時前,https://www.washingtonpost.com/politics/2023/08/31/liberals-push-biden-ambitious-agenda/ 
Fetterman celebrates Biden ‘win’ on marijuana  urges DEA to follow,Sen. John Fetterman (D-Pa.) praised President Biden and the Department of Health and Human Services (HHS) on Thursday after the department sent its,https://thehill.com/homenews/administration/4181107-fetterman-celebrates-biden-win-on-marijuana-urges-dea-to-follow/ 
President Biden: Don't Give Wall Street Control of Our Public Water ...,This week  President Biden's National Infrastructure Advisory Council issued a report recommending the privatization of the nation's water systems.5 小時前,https://www.foodandwaterwatch.org/2023/08/31/president-biden-dont-give-wall-street-control-of-our-public-water-systems/ 
Biden approves military aid to Taiwan under program normally used for sovereign states,WASHINGTON (Reuters) -U.S. President Joe Biden's administration has approved a military transfer to Taiwan under the Foreign Military Financing  or FMF ,https://news.yahoo.com/biden-approves-military-aid-taiwan-224231865.html 
Karine Jean-Pierre responds to AOC: Biden has 'done more than anybody' to secure the border,"White House Press Secretary Karine Jean-Pierre on Thursday said that President Joe Biden has ""done more"" to secure the souther border and deal with the",https://www.foxnews.com/politics/karine-jean-pierre-aoc-biden-done-more-anybody-immigration-securing-border 
President Biden  Gov. DeSantis set aside politics in hurricane ...,TALLAHASSEE - Potential 2024 presidential opponents Ron DeSantis and Joe Biden say they have set aside red-blue politics in disaster-recovery efforts.8 小時前,https://www.cbsnews.com/miami/news/president-biden-gov-desantis-set-aside-politics-in-hurricane-recovery-efforts/ 
Biden-Harris Administration Responds to Hurricane Idalia ...,Under President Biden's leadership  the administration mobilized more than 1 500 federal personnel  including four Incident Management Assistance Teams ,https://www.fema.gov/press-release/20230831/biden-harris-administration-responds-hurricane-idalia-encourages-people-be 
US Will Need ‘Hell of a Lot More’ Emergency Funding  Biden Says,(Bloomberg) -- President Joe Biden called for lawmakers to provide significantly more emergency funding to help natural disaster recovery efforts during a,https://www.bnnbloomberg.ca/us-will-need-hell-of-a-lot-more-emergency-funding-biden-says-1.1965815 
Saudi CP Mohammad's stance on his potential meeting with Biden ...,U.S. President Joe Biden is said to be considering the option of meeting with Saudi Crown Prince Mohammad Bin Salman (MBS) during the upcoming G20 summit in,https://www.tacticalreport.com/daily/62147-saudi-cp-mohammads-stance-on-his-potential-meeting-with-biden-during-g20 
Jen Psaki Predicts Exactly When And How Biden Will Talk Trump Indictments,Don't expect President Joe Biden to talk about the indictments of former President Donald Trump anytime soon  MSNBC's Jen Psaki said this week.15 小時前,https://ca.sports.yahoo.com/news/jen-psaki-predicts-exactly-biden-073044569.html 
